GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC05,HC02_VC05,HC03_VC05,HC04_VC05,HC01_VC35,HC02_VC35,HC03_VC35,HC04_VC35,HC01_VC38,HC02_VC38,HC03_VC38,HC04_VC38,HC01_VC41,HC02_VC41,HC03_VC41,HC04_VC41,HC01_VC44,HC02_VC44,HC03_VC44,HC04_VC44,HC01_VC53,HC02_VC53,HC03_VC53,HC04_VC53,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98,HC01_VC99,HC02_VC99,HC03_VC99,HC04_VC99,HC01_VC100,HC02_VC100,HC03_VC100,HC04_VC100,HC01_VC101,HC02_VC101,HC03_VC101,HC04_VC101,HC01_VC102,HC02_VC102,HC03_VC102,HC04_VC102,HC01_VC103,HC02_VC103,HC03_VC103,HC04_VC103,HC01_VC104,HC02_VC104,HC03_VC104,HC04_VC104
0500000US48039,48039,"Brazoria County, Texas",345995,*****,345995,(X),170839,69,49.4,0.1,253182,*****,253182,(X),101.6,*****,(X),(X),38356,66,38356,(X),85.0,0.3,(X),(X),338141,1083,97.7,0.3,345995,*****,345995,(X),102715,*****,29.7,*****,91751,1609,26.5,0.5,243280,*****,70.3,*****,169835,155,49.1,0.1,44790,695,12.9,0.2,1054,317,0.3,0.1,21494,533,6.2,0.2,7,9,0.0,0.1,443,272,0.1,0.1
0500000US48041,48041,"Brazos County, Texas",214231,*****,214231,(X),105753,80,49.4,0.1,170001,*****,170001,(X),102.4,0.1,(X),(X),18110,67,18110,(X),79.9,0.6,(X),(X),207578,966,96.9,0.5,214231,*****,214231,(X),53696,*****,25.1,*****,45717,1146,21.3,0.5,160535,*****,74.9,*****,121439,106,56.7,0.1,21819,413,10.2,0.2,238,109,0.1,0.1,12857,268,6.0,0.1,83,57,0.0,0.1,214,116,0.1,0.1
0500000US48043,48043,"Brewster County, Texas",9220,*****,9220,(X),4756,125,51.6,1.4,7377,33,7377,(X),98.9,1.7,(X),(X),1863,23,1863,(X),94.3,2.2,(X),(X),9025,99,97.9,1.1,9220,*****,9220,(X),4079,*****,44.2,*****,3638,164,39.5,1.8,5141,*****,55.8,*****,4768,21,51.7,0.2,13,11,0.1,0.1,153,63,1.7,0.7,99,9,1.1,0.1,0,19,0.0,0.4,12,21,0.1,0.2
0500000US48045,48045,"Briscoe County, Texas",1591,108,1591,(X),795,75,50.0,3.0,1270,86,1270,(X),105.5,12.6,(X),(X),368,61,368,(X),87.8,21.9,(X),(X),1497,113,94.1,1.9,1591,108,1591,(X),513,118,32.2,6.5,472,127,29.7,7.2,1078,109,67.8,6.5,964,108,60.6,6.2,27,18,1.7,1.1,0,13,0.0,2.5,0,13,0.0,2.5,16,18,1.0,1.1,0,13,0.0,2.5
0500000US48047,48047,"Brooks County, Texas",7251,*****,7251,(X),3501,246,48.3,3.4,5266,287,5266,(X),114.0,19.5,(X),(X),1073,186,1073,(X),86.9,21.7,(X),(X),7055,116,97.3,1.6,7251,*****,7251,(X),6824,207,94.1,2.9,6323,293,87.2,4.0,427,207,5.9,2.9,417,208,5.8,2.9,5,5,0.1,0.1,0,19,0.0,0.5,0,19,0.0,0.5,0,19,0.0,0.5,0,19,0.0,0.5
0500000US48049,48049,"Brown County, Texas",37787,*****,37787,(X),19046,91,50.4,0.2,29214,70,29214,(X),96.2,1.1,(X),(X),7250,108,7250,(X),84.1,2.2,(X),(X),37154,139,98.3,0.4,37787,*****,37787,(X),8119,*****,21.5,*****,7547,218,20.0,0.6,29668,*****,78.5,*****,27465,5,72.7,0.1,1369,76,3.6,0.2,92,52,0.2,0.1,238,46,0.6,0.1,0,28,0.0,0.1,3,5,0.0,0.1
0500000US48051,48051,"Burleson County, Texas",17596,*****,17596,(X),8815,148,50.1,0.8,13602,23,13602,(X),95.7,0.3,(X),(X),3537,37,3537,(X),85.6,1.7,(X),(X),17212,141,97.8,0.8,17596,*****,17596,(X),3537,*****,20.1,*****,3150,181,17.9,1.0,14059,*****,79.9,*****,11561,21,65.7,0.2,2169,110,12.3,0.6,31,30,0.2,0.2,59,63,0.3,0.4,0,21,0.0,0.2,0,21,0.0,0.2
0500000US48053,48053,"Burnet County, Texas",45017,*****,45017,(X),22783,180,50.6,0.4,35229,72,35229,(X),95.2,1.7,(X),(X),9666,214,9666,(X),88.1,2.0,(X),(X),44366,312,98.6,0.7,45017,*****,45017,(X),9857,*****,21.9,*****,9140,368,20.3,0.8,35160,*****,78.1,*****,33365,12,74.1,0.1,696,257,1.5,0.6,276,95,0.6,0.2,328,20,0.7,0.1,0,28,0.0,0.1,0,28,0.0,0.1
0500000US48055,48055,"Caldwell County, Texas",40544,*****,40544,(X),19981,134,49.3,0.3,30771,175,30771,(X),99.4,1.4,(X),(X),5362,71,5362,(X),82.5,2.8,(X),(X),39746,230,98.0,0.6,40544,*****,40544,(X),20537,*****,50.7,*****,18532,601,45.7,1.5,20007,*****,49.3,*****,16661,14,41.1,0.1,2458,109,6.1,0.3,86,48,0.2,0.1,393,21,1.0,0.1,23,32,0.1,0.1,0,28,0.0,0.1
0500000US48057,48057,"Calhoun County, Texas",21821,*****,21821,(X),10845,82,49.7,0.4,16339,14,16339,(X),100.6,1.6,(X),(X),3609,106,3609,(X),91.5,4.8,(X),(X),20965,304,96.1,1.4,21821,*****,21821,(X),10503,*****,48.1,*****,9429,543,43.2,2.5,11318,*****,51.9,*****,9426,25,43.2,0.2,567,70,2.6,0.3,13,12,0.1,0.1,1079,61,4.9,0.3,14,23,0.1,0.1,0,25,0.0,0.2
