"","fip","cnty","lmi_burdenx100","pcnt_hisp_ucb","pcnt_blk_ucb","pcnt_rural_chr","pcnt_sr_ucb","pcnt_college_chr","pcnt_unemp_bls","pcnt_pov_usda","pcnt_income_saipe","pcnt_own_ucb","pcnt_lw_access_usda","pcnt_obese_usda","pcnt_food_insec_chr","pcnt_uninsured_chr","house_str_age"
"107",48213,"Henderson",13,12.1,6.6,60.1,21.26821188,49,4.4,16.2,75.1752681814342,75.4062839,27.26426654,30.2,19,25,43
"108",48215,"Hidalgo",12,91.8,0.4,5.1,10.43036714,47,7.9,31.1,62.468113860968,67.498269,34.73428347,34.4,10,41,43
"109",48217,"Hill",11,20,6.3,76.3,20.22052539,49,4.2,17.8,79.6722696173663,73.7730787,5.675756885,28.7,18,27,42
"110",48219,"Hockley",8,46.9,3.6,39.8,13.50491986,54,4.1,15.9,81.8464397330856,68.6050837,45.78007837,30.7,12,24,55
"111",48221,"Hood",6,12,0.7,32.8,24.01746725,56,4.4,9.8,109.277810625897,76.0579737,32.81717361,26.5,16,20,62
"112",48223,"Hopkins",11,16.3,6.7,59.6,17.5930307,52,3.8,15.9,75.8932342258637,69.3083465,16.77241145,30.5,18,25,34
"113",48225,"Houston",12,10.7,24.9,73.5,20.88494026,44,4.2,27,63.726666103556,68.6959654,39.36044797,28.3,23,23,57
"114",48227,"Howard",9,41.2,5.2,20.1,12.52911677,46,4.5,19.1,79.2279753357547,68.0565627,49.18210625,31.1,14,20,28
"115",48229,"Hudspeth",15,78.4,1.5,100,16.28849271,19,6.4,25,67.0377565672776,74.7191011,99.62373465,26.3,12,37,48
"116",48231,"Hunt",7,15.3,7.8,56.6,15.60970749,55,4.2,16.5,90.2457977869752,69.683144,10.54772537,27,19,23,40
"117",48233,"Hutchinson",7,22.5,2,22.6,15.32436417,59,6.7,14.2,90.3201283892221,79.5230158,29.18928393,31.1,16,23,50
"118",48235,"Irion",7,22.9,3.2,100,17.65075377,73,2.9,7.9,107.824985218346,79.3209877,99.97419983,27.9,13,15,46
"119",48237,"Jack",8,16.3,4.5,53.2,16.03122525,40,3.9,17.1,80.790607314807,82.0813008,47.48063175,26.9,17,24,56
"120",48239,"Jackson",9,32.3,7.1,61.8,16.58986175,56,4.4,13.6,83.3685277472759,69.7629969,21.31684226,32.2,14,22,42
"121",48241,"Jasper",11,6.5,16.7,78.2,18.44599932,41,7.5,15.7,73.2629445054481,75.1377986,17.88369478,29.1,22,19,40
