GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0500000US48253,48253,"Jones County, Texas",5635,333,4162,268,1473,232
0500000US48255,48255,"Karnes County, Texas",4303,275,3200,257,1103,171
0500000US48257,48257,"Kaufman County, Texas",36525,419,28175,614,8350,578
0500000US48259,48259,"Kendall County, Texas",13691,291,9975,353,3716,321
0500000US48261,48261,"Kenedy County, Texas",152,51,43,24,109,46
0500000US48263,48263,"Kent County, Texas",275,43,202,40,73,26
0500000US48265,48265,"Kerr County, Texas",20580,441,14660,517,5920,495
0500000US48267,48267,"Kimble County, Texas",1941,170,1458,142,483,122
0500000US48269,48269,"King County, Texas",101,24,20,11,81,23
0500000US48271,48271,"Kinney County, Texas",1200,160,928,155,272,101
0500000US48273,48273,"Kleberg County, Texas",10958,426,5808,347,5150,467
0500000US48275,48275,"Knox County, Texas",1376,97,1110,83,266,55
0500000US48277,48277,"Lamar County, Texas",19085,385,12273,549,6812,498
0500000US48279,48279,"Lamb County, Texas",4790,153,3399,208,1391,206
0500000US48281,48281,"Lampasas County, Texas",7748,235,5758,283,1990,286
0500000US48283,48283,"La Salle County, Texas",2286,244,1607,247,679,192
0500000US48285,48285,"Lavaca County, Texas",7684,197,5801,217,1883,207
0500000US48287,48287,"Lee County, Texas",6118,239,4739,276,1379,189
0500000US48289,48289,"Leon County, Texas",6245,349,4897,333,1348,290
0500000US48291,48291,"Liberty County, Texas",25974,635,19440,607,6534,567
0500000US48293,48293,"Limestone County, Texas",8100,259,6109,239,1991,215
0500000US48295,48295,"Lipscomb County, Texas",1276,73,935,72,341,59
0500000US48297,48297,"Live Oak County, Texas",3586,327,2959,259,627,180
0500000US48299,48299,"Llano County, Texas",8681,442,6647,389,2034,302
0500000US48301,48301,"Loving County, Texas",31,12,16,10,15,9
0500000US48303,48303,"Lubbock County, Texas",110275,821,61694,1041,48581,1063
0500000US48305,48305,"Lynn County, Texas",2147,81,1475,103,672,104
0500000US48307,48307,"McCulloch County, Texas",3143,220,2398,212,745,176
0500000US48309,48309,"McLennan County, Texas",88208,832,51140,887,37068,885
0500000US48311,48311,"McMullen County, Texas",194,50,143,49,51,26
0500000US48313,48313,"Madison County, Texas",4174,214,3069,222,1105,184
0500000US48315,48315,"Marion County, Texas",4457,212,3528,222,929,188
0500000US48317,48317,"Martin County, Texas",1635,84,1261,117,374,96
