FIPS,County,PCT_OBESE_ADULTS13,POVRATE15,PCT_LACCESS_POP15
48487,Wilbarger,28,16.5,27.29621009
48489,Willacy,27.6,35.4,13.78729352
48491,Williamson,31.1,6.6,33.69662526
48493,Wilson,31.4,9.4,4.373064644
48495,Winkler,27.7,13.3,0.882119192
48497,Wise,30.9,12.1,5.951672799
48499,Wood,30.1,16.6,7.678459758
48501,Yoakum,26.7,11.1,19.82933069
48503,Young,27.1,15,33.11051959
48505,Zapata,26.3,30.9,43.2706604
48507,Zavala,27.4,32,31.70358023
