Id,Id2,Geography,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone
0500000US48327,48327,"Menard County, Texas",37.3,0.6
0500000US48329,48329,"Midland County, Texas",43.2,5.9
0500000US48331,48331,"Milam County, Texas",25.8,8.4
0500000US48333,48333,"Mills County, Texas",18.3,0.2
0500000US48335,48335,"Mitchell County, Texas",39.3,10.3
0500000US48337,48337,"Montague County, Texas",10.7,0.2
0500000US48339,48339,"Montgomery County, Texas",23,4.5
0500000US48341,48341,"Moore County, Texas",54.1,3.2
0500000US48343,48343,"Morris County, Texas",9.2,23.6
0500000US48345,48345,"Motley County, Texas",16.3,3.5
0500000US48347,48347,"Nacogdoches County, Texas",18.9,17.2
0500000US48349,48349,"Navarro County, Texas",26.2,13.1
0500000US48351,48351,"Newton County, Texas",3.5,21.3
0500000US48353,48353,"Nolan County, Texas",36.4,4.9
0500000US48355,48355,"Nueces County, Texas",63,3.6
0500000US48357,48357,"Ochiltree County, Texas",53,0.2
0500000US48359,48359,"Oldham County, Texas",15.5,5.6
0500000US48361,48361,"Orange County, Texas",7.1,8.3
0500000US48363,48363,"Palo Pinto County, Texas",19.7,2.4
0500000US48365,48365,"Panola County, Texas",8.6,16.3
0500000US48367,48367,"Parker County, Texas",11.5,1.3
0500000US48369,48369,"Parmer County, Texas",62.4,1.6
0500000US48371,48371,"Pecos County, Texas",68.5,4.1
0500000US48373,48373,"Polk County, Texas",14.8,10.4
0500000US48375,48375,"Potter County, Texas",37.6,9.3
0500000US48377,48377,"Presidio County, Texas",81.4,0
0500000US48379,48379,"Rains County, Texas",8.7,1.5
0500000US48381,48381,"Randall County, Texas",20.2,2.8
0500000US48383,48383,"Reagan County, Texas",70.1,0.7
0500000US48385,48385,"Real County, Texas",19.8,0.2
0500000US48387,48387,"Red River County, Texas",7.3,17.6
0500000US48389,48389,"Reeves County, Texas",75,4.5
0500000US48391,48391,"Refugio County, Texas",49.7,5
0500000US48393,48393,"Roberts County, Texas",7.4,0
0500000US48395,48395,"Robertson County, Texas",20.2,19.7
0500000US48397,48397,"Rockwall County, Texas",17.1,6
