"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2017","48","48043","Brewster County (TX)","9,283","1,298","987","1,609","987 to 1,609","14.0","10.7","17.3","10.7 to 17.3","1,796","371","275","467","275 to 467","20.7","15.4","26.0","15.4 to 26.0","1,268","262","190","334","190 to 334","20.7","15.0","26.4","15.0 to 26.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$44,617","$40,203","$49,031","$40,203 to $49,031"
"2017","48","48045","Briscoe County (TX)","1,524","233","180","286","180 to 286","15.3","11.8","18.8","11.8 to 18.8","296","77","57","97","57 to 97","26.0","19.3","32.7","19.3 to 32.7","223","55","40","70","40 to 70","24.7","17.9","31.5","17.9 to 31.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,678","$38,094","$47,262","$38,094 to $47,262"
"2017","48","48047","Brooks County (TX)","7,167","2,509","2,013","3,005","2,013 to 3,005","35.0","28.1","41.9","28.1 to 41.9","2,058","1,080","839","1,321","839 to 1,321","52.5","40.8","64.2","40.8 to 64.2","1,439","792","609","975","609 to 975","55.0","42.3","67.7","42.3 to 67.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$28,106","$24,979","$31,233","$24,979 to $31,233"
"2017","48","48049","Brown County (TX)","36,275","6,099","4,803","7,395","4,803 to 7,395","16.8","13.2","20.4","13.2 to 20.4","8,188","2,034","1,565","2,503","1,565 to 2,503","24.8","19.1","30.5","19.1 to 30.5","6,049","1,342","984","1,700","984 to 1,700","22.2","16.3","28.1","16.3 to 28.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,538","$38,485","$44,591","$38,485 to $44,591"
"2017","48","48051","Burleson County (TX)","17,758","2,946","2,339","3,553","2,339 to 3,553","16.6","13.2","20.0","13.2 to 20.0","3,953","1,006","762","1,250","762 to 1,250","25.4","19.2","31.6","19.2 to 31.6","2,842","696","517","875","517 to 875","24.5","18.2","30.8","18.2 to 30.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,409","$42,991","$51,827","$42,991 to $51,827"
"2017","48","48053","Burnet County (TX)","45,492","4,722","3,596","5,848","3,596 to 5,848","10.4","7.9","12.9","7.9 to 12.9","10,025","1,771","1,292","2,250","1,292 to 2,250","17.7","12.9","22.5","12.9 to 22.5","7,373","1,240","880","1,600","880 to 1,600","16.8","11.9","21.7","11.9 to 21.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$59,009","$53,911","$64,107","$53,911 to $64,107"
"2017","48","48055","Caldwell County (TX)","40,559","5,892","4,687","7,097","4,687 to 7,097","14.5","11.5","17.5","11.5 to 17.5","9,699","2,062","1,550","2,574","1,550 to 2,574","21.3","16.0","26.6","16.0 to 26.6","6,849","1,429","1,028","1,830","1,028 to 1,830","20.9","15.0","26.8","15.0 to 26.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,895","$47,108","$56,682","$47,108 to $56,682"
"2017","48","48057","Calhoun County (TX)","21,508","3,497","2,780","4,214","2,780 to 4,214","16.3","13.0","19.6","13.0 to 19.6","5,324","1,291","968","1,614","968 to 1,614","24.2","18.1","30.3","18.1 to 30.3","3,844","885","643","1,127","643 to 1,127","23.0","16.7","29.3","16.7 to 29.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$55,240","$50,765","$59,715","$50,765 to $59,715"
"2017","48","48059","Callahan County (TX)","13,807","1,936","1,490","2,382","1,490 to 2,382","14.0","10.8","17.2","10.8 to 17.2","3,120","726","543","909","543 to 909","23.3","17.4","29.2","17.4 to 29.2","2,268","522","380","664","380 to 664","23.0","16.7","29.3","16.7 to 29.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,843","$41,003","$50,683","$41,003 to $50,683"
"2017","48","48061","Cameron County (TX)","419,941","116,191","105,251","127,131","105,251 to 127,131","27.7","25.1","30.3","25.1 to 30.3","129,192","49,643","43,911","55,375","43,911 to 55,375","38.4","34.0","42.8","34.0 to 42.8","93,881","34,901","30,598","39,204","30,598 to 39,204","37.2","32.6","41.8","32.6 to 41.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,624","$34,375","$38,873","$34,375 to $38,873"
