,,,,,Uninsured Adults,Median Income,,,,,,,,Adult Obesity
FIPS,State,County,% Food Insecure,% Limited Access,% Uninsured,Household Income,% Homeowners,% 65 and over,% African American,% Hispanic,% Rural,% Unemployed,Food Environment Index,% Obese
48239,Texas,Jackson,14,4,22,49350,70,17.7,5.9,33.4,61.8,4.0,7.8,31
48241,Texas,Jasper,22,8,19,43368,75,19.3,16.0,6.7,78.2,7.4,6.1,32
48243,Texas,Jeff Davis,10,5,30,38537,80,33.1,0.6,34.1,100.0,3.1,8.5,27
48245,Texas,Jefferson,24,8,24,47852,62,14.1,33.3,20.8,8.4,7.3,5.7,34
48247,Texas,Jim Hogg,7,17,26,32319,76,17.4,0.6,92.8,17.4,7.2,7.9,29
48249,Texas,Jim Wells,10,9,24,40681,69,15.0,0.5,80.6,40.1,7.5,8.0,30
48251,Texas,Johnson,15,7,21,61813,74,13.9,3.2,21.3,37.9,3.8,7.4,30
48253,Texas,Jones,17,9,23,44132,74,15.2,12.0,27.9,85.1,5.3,6.8,30
48255,Texas,Karnes,14,11,18,48708,74,14.2,8.6,54.0,38.4,3.5,7.3,30
48257,Texas,Kaufman,16,4,22,65942,77,11.9,11.1,21.4,48.8,3.5,7.5,31
48259,Texas,Kendall,12,2,16,89637,73,18.7,1.1,24.1,58.2,3.1,8.4,26
48261,Texas,Kenedy,13,57,25,38031,28,18.2,2.2,74.3,100.0,3.3,3.3,28
48263,Texas,Kent,15,36,22,45330,73,26.2,1.3,19.9,100.0,2.6,4.8,28
48265,Texas,Kerr,15,13,24,49748,71,27.4,1.4,26.8,41.1,3.4,6.8,29
48267,Texas,Kimble,16,8,26,41081,75,29.1,0.5,24.6,44.3,3.5,7.2,31
48269,Texas,King,16,27,24,56346,20,17.2,0.0,18.2,100.0,3.7,5.5,29
48271,Texas,Kinney,10,2,24,42650,77,24.0,1.1,59.5,20.5,5.5,8.7,29
48273,Texas,Kleberg,12,17,26,41257,53,12.9,3.5,72.9,18.9,5.9,7.0,28
48275,Texas,Knox,14,21,27,37749,81,20.0,5.0,34.6,100.0,4.0,6.3,29
48277,Texas,Lamar,22,12,23,47212,64,19.0,12.9,7.9,47.1,4.2,5.7,34
48279,Texas,Lamb,13,2,30,41099,71,16.4,3.6,56.0,57.7,5.2,8.2,32
48281,Texas,Lampasas,16,9,22,55759,74,19.0,3.5,20.0,68.3,3.7,7.1,30
48283,Texas,La Salle,5,39,21,41518,70,13.6,0.6,86.4,46.4,3.7,6.3,28
48285,Texas,Lavaca,15,4,19,51191,75,23.1,6.0,18.8,81.3,3.6,7.6,31
48287,Texas,Lee,16,2,21,54164,77,18.0,10.7,23.4,69.7,3.3,7.7,32
48289,Texas,Leon,18,5,26,43189,78,23.9,6.9,14.6,100.0,6.3,7.0,30
48291,Texas,Liberty,19,8,25,50420,75,12.8,9.7,24.8,63.2,7.1,6.6,29
48293,Texas,Limestone,20,8,25,41434,75,18.9,16.9,22.4,53.6,5.5,6.3,34
48295,Texas,Lipscomb,13,28,26,54091,73,17.4,0.8,33.6,100.0,3.2,5.9,28
48297,Texas,Live Oak,13,4,22,50430,83,20.3,4.2,40.0,100.0,4.7,8.0,29
48299,Texas,Llano,17,14,21,51078,77,35.6,1.0,10.7,45.2,3.7,6.5,28
48301,Texas,Loving,19,51,21,65203,52,9.0,3.7,19.4,100.0,5.0,2.7,29
48303,Texas,Lubbock,16,8,18,47460,56,12.2,7.0,35.5,11.3,3.2,7.1,32
48305,Texas,Lynn,12,15,25,44567,69,17.3,1.9,47.4,56.7,3.8,7.1,28
48307,Texas,McCulloch,15,17,25,40157,76,22.1,1.8,32.4,35.3,3.6,6.5,29
48309,Texas,McLennan,19,20,21,47306,58,14.2,14.1,26.4,23.4,3.8,5.5,31
48311,Texas,McMullen,8,37,17,68133,74,23.1,2.6,42.4,100.0,1.9,6.0,32
48313,Texas,Madison,19,15,26,42058,74,15.6,19.7,23.0,67.4,4.6,6.0,29
48315,Texas,Marion,24,3,20,36936,79,25.3,21.0,4.0,100.0,5.7,6.1,32
48317,Texas,Martin,9,7,24,59907,77,11.6,1.7,47.1,100.0,3.2,8.4,30
48319,Texas,Mason,14,3,28,47213,73,28.7,0.6,25.4,100.0,3.3,7.9,28
48321,Texas,Matagorda,17,17,24,46801,68,16.5,10.3,42.7,36.4,7.2,6.0,31
48323,Texas,Maverick,9,22,36,33507,68,11.5,0.3,95.1,9.3,9.3,7.1,30
48325,Texas,Medina,9,8,20,56173,82,16.3,2.4,51.9,61.6,3.8,8.3,32
48327,Texas,Menard,13,7,29,34033,67,30.2,1.3,36.1,100.0,4.8,7.8,29
48329,Texas,Midland,11,7,20,76307,67,10.4,5.9,45.0,12.3,3.0,8.1,33
48331,Texas,Milam,17,9,23,44855,68,19.9,8.8,26.6,56.2,5.0,6.8,32
48333,Texas,Mills,15,10,27,42463,85,27.2,0.8,18.6,100.0,3.5,7.2,28
48335,Texas,Mitchell,13,4,24,41512,76,14.8,9.8,39.5,36.7,5.5,7.9,31
48337,Texas,Montague,18,7,25,47590,72,22.1,0.5,11.3,58.9,4.0,6.9,28
48339,Texas,Montgomery,15,6,20,77149,71,12.9,4.9,24.1,22.7,4.3,7.6,24
48341,Texas,Moore,11,14,32,51444,64,10.5,3.3,55.3,16.8,2.9,7.5,31
48343,Texas,Morris,25,1,24,39627,74,21.4,22.5,10.0,78.4,8.6,6.2,32
48345,Texas,Motley,17,10,28,36782,72,29.9,2.4,16.8,100.0,3.7,6.7,28
48347,Texas,Nacogdoches,22,13,26,42367,56,14.2,17.9,19.5,46.5,4.3,5.5,34
48349,Texas,Navarro,18,11,27,41944,69,16.8,12.8,27.3,52.7,3.9,6.5,28
48351,Texas,Newton,23,12,20,41736,83,20.1,20.0,3.6,100.0,7.9,5.5,31
48353,Texas,Nolan,15,8,21,42662,69,17.9,4.4,37.9,32.7,4.1,7.3,31
48355,Texas,Nueces,11,10,23,51910,58,14.1,3.5,63.9,6.4,5.4,7.8,34
48357,Texas,Ochiltree,10,2,31,58962,72,10.9,0.5,54.5,13.9,3.7,8.7,30
48359,Texas,Oldham,16,35,17,55451,74,14.8,3.3,15.6,100.0,2.5,4.7,29
48361,Texas,Orange,20,9,17,57257,75,15.6,8.6,7.7,35.2,6.9,6.4,34
48363,Texas,Palo Pinto,18,13,26,45869,70,19.2,2.3,19.9,50.2,4.1,6.3,30
48365,Texas,Panola,21,7,20,48971,77,18.4,15.6,8.8,72.7,5.5,6.4,34
48367,Texas,Parker,15,5,18,74076,78,15.3,1.4,12.2,56.1,3.5,7.6,31
48369,Texas,Parmer,8,20,30,48189,69,13.7,1.1,63.5,60.0,2.5,7.4,32
48371,Texas,Pecos,7,6,26,44352,70,13.3,3.6,68.8,39.8,4.5,8.9,32
48373,Texas,Polk,19,12,26,44596,77,18.7,10.0,15.3,77.6,6.0,6.1,34
48375,Texas,Potter,17,10,29,43778,57,12.1,9.8,38.3,9.0,3.2,6.8,35
48377,Texas,Presidio,11,43,37,29761,60,22.6,0.9,83.6,40.5,9.4,4.8,28
48379,Texas,Rains,16,,24,43403,77,24.4,2.3,9.1,93.2,3.5,,30
48381,Texas,Randall,14,4,15,63077,70,14.6,3.0,21.8,14.4,2.8,7.8,26
48383,Texas,Reagan,10,2,26,58168,70,11.2,2.4,68.5,13.3,3.8,8.8,29
48385,Texas,Real,17,45,28,36146,77,28.8,0.7,27.6,100.0,5.7,3.6,29
48387,Texas,Red River,21,18,24,35643,76,24.3,16.4,7.6,75.7,5.2,5.2,38
48389,Texas,Reeves,7,9,25,40694,72,12.0,4.7,75.3,14.5,3.5,8.6,30
48391,Texas,Refugio,13,7,20,42898,72,21.6,5.7,50.0,60.7,5.8,7.8,29
48393,Texas,Roberts,14,12,11,67688,74,19.2,0.0,11.3,100.0,3.7,7.1,28
48395,Texas,Robertson,18,11,23,44355,74,18.9,19.4,20.9,73.9,4.7,6.4,32
48397,Texas,Rockwall,13,4,15,98442,80,12.3,6.2,17.7,16.0,3.3,8.1,25
48399,Texas,Runnels,14,11,24,41830,72,20.7,2.0,34.3,40.8,3.8,7.2,30
48401,Texas,Rusk,19,8,25,49872,76,16.5,16.7,16.9,65.9,5.1,6.5,36
48403,Texas,Sabine,23,6,22,37770,88,30.7,6.9,4.5,100.0,8.6,6.0,33
48405,Texas,San Augustine,26,2,22,39133,79,25.4,21.8,7.1,100.0,7.5,5.9,32
48407,Texas,San Jacinto,19,3,25,44707,83,21.4,9.3,13.1,100.0,5.6,7.1,30
48409,Texas,San Patricio,11,8,23,50752,67,14.5,1.5,57.9,19.7,7.6,8.0,36
48411,Texas,San Saba,15,13,31,43112,67,22.7,3.2,30.3,49.4,3.2,6.8,30
48413,Texas,Schleicher,10,5,26,45821,77,18.2,1.3,53.1,100.0,3.7,8.5,29
48415,Texas,Scurry,12,11,21,51772,74,14.8,4.5,40.6,31.7,4.4,7.7,29
48417,Texas,Shackelford,17,6,23,61155,79,20.0,1.0,11.6,100.0,3.0,7.1,30
48419,Texas,Shelby,21,6,30,39745,71,17.2,17.7,18.5,79.4,5.1,6.4,31
48421,Texas,Sherman,10,6,31,49349,81,15.2,1.1,44.2,100.0,3.1,8.4,30
48423,Texas,Smith,19,7,23,54044,66,16.2,17.3,19.6,31.6,4.1,6.7,32
48425,Texas,Somervell,17,0,21,62803,74,18.7,1.1,18.7,100.0,4.5,7.7,28
48427,Texas,Starr,13,33,40,28377,74,11.3,0.1,96.3,23.7,11.7,5.5,32
48429,Texas,Stephens,17,13,27,41977,79,19.3,2.5,24.0,39.4,4.7,6.5,30
48431,Texas,Sterling,12,47,21,55690,85,15.8,1.9,40.0,100.0,3.8,4.3,27
48433,Texas,Stonewall,16,5,21,43702,76,26.1,3.2,18.4,100.0,3.4,7.3,28
48435,Texas,Sutton,10,4,24,57986,68,17.7,0.6,62.6,18.8,5.1,8.7,30
48437,Texas,Swisher,15,8,29,41264,70,17.9,7.4,44.1,37.6,4.1,7.3,28
48439,Texas,Tarrant,17,8,21,65021,61,11.0,16.3,28.9,1.3,3.7,7.0,30
48441,Texas,Taylor,18,12,20,50338,59,14.3,7.3,24.5,16.0,3.5,6.4,32
48443,Texas,Terrell,10,38,24,39033,77,28.1,1.1,52.7,100.0,4.9,5.4,28
48445,Texas,Terry,11,18,30,40899,70,14.7,4.3,55.1,24.7,5.0,7.2,30
48447,Texas,Throckmorton,16,32,23,38162,73,27.3,1.0,14.4,100.0,4.3,5.0,27
48449,Texas,Titus,16,6,31,47097,67,14.1,9.2,43.3,50.6,5.3,7.3,30
48451,Texas,Tom Green,14,17,20,49462,63,15.2,3.6,40.0,15.6,3.7,6.7,29
48453,Texas,Travis,15,7,18,72785,52,9.6,8.0,33.9,5.5,3.0,7.3,22
48455,Texas,Trinity,19,1,25,34741,78,26.1,9.3,9.7,77.2,5.5,7.2,32
48457,Texas,Tyler,20,19,20,43394,84,22.1,10.6,7.7,78.1,7.3,5.4,29
48459,Texas,Upshur,19,5,22,47517,77,18.1,8.1,8.7,79.3,5.2,6.8,30
48461,Texas,Upton,12,9,24,56448,73,13.8,1.7,53.5,100.0,3.8,7.7,28
48463,Texas,Uvalde,9,22,28,39610,73,16.4,0.6,71.4,31.4,4.7,7.1,31
48465,Texas,Val Verde,9,18,29,41441,63,14.2,1.3,82.3,10.2,5.1,7.5,27
48467,Texas,Van Zandt,17,4,26,50308,77,20.1,2.7,10.9,75.0,3.7,7.3,27
48469,Texas,Victoria,13,9,23,52161,66,15.7,5.9,47.0,26.6,4.8,7.5,31
48471,Texas,Walker,23,12,20,42304,53,12.7,22.8,18.1,45.6,4.6,5.4,32
48473,Texas,Waller,19,11,28,55224,69,11.8,24.5,30.1,61.6,4.9,6.2,36
48475,Texas,Ward,12,4,24,53242,70,14.2,4.1,53.6,27.9,4.1,8.3,32
48477,Texas,Washington,18,3,20,51276,77,21.2,16.9,16.3,53.5,4.2,7.1,29
48479,Texas,Webb,8,13,38,41979,63,9.2,0.3,95.5,2.6,4.2,8.1,33
48481,Texas,Wharton,15,7,26,46194,67,16.7,13.0,41.4,49.9,4.5,7.3,30
48483,Texas,Wheeler,16,3,24,45356,64,19.0,2.7,25.6,100.0,4.1,7.6,30
48485,Texas,Wichita,19,13,19,44593,61,14.5,10.5,19.2,10.7,3.7,6.1,32
48487,Texas,Wilbarger,17,13,23,40353,65,18.1,7.4,29.3,21.9,4.7,6.5,29
48489,Texas,Willacy,14,9,30,30392,78,13.7,1.9,88.3,34.6,11.0,7.5,31
48491,Texas,Williamson,13,8,13,82131,69,11.9,6.4,24.5,12.0,3.2,7.7,31
48493,Texas,Wilson,10,1,18,70829,84,15.6,1.4,39.8,85.9,3.5,8.9,35
48495,Texas,Winkler,11,0,23,51965,78,12.3,2.0,60.8,18.1,5.2,8.7,31
48497,Texas,Wise,15,2,20,60675,77,14.9,1.4,19.5,72.1,4.0,7.9,31
48499,Texas,Wood,17,4,23,49739,80,27.1,5.2,10.1,74.2,4.7,7.3,29
48501,Texas,Yoakum,7,7,28,58363,77,11.7,0.9,66.6,37.3,3.5,8.8,29
48503,Texas,Young,16,13,25,44909,78,20.0,1.2,18.9,33.6,3.8,6.7,32
48505,Texas,Zapata,11,27,40,32172,72,12.6,0.2,94.4,23.5,7.3,6.3,29
48507,Texas,Zavala,14,20,27,28867,69,14.1,0.5,93.9,38.0,11.1,6.4,28
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
